"Data Source","World Development Indicators",

"Last Updated Date","2018-05-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Austria","AUT","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19452.4663616687","20585.1530146764","21259.9097212701","21700.7133561647","22607.7419016545","23658.7710808346","24523.8834591077","25412.3675952472","26652.8315743635","27606.4830303088","29375.4047955407","29739.9415290309","31178.6933297272","32106.4660049647","33755.1429267927","35013.7140443423","37627.9709197097","39385.7422696764","41316.225176699","40919.1505775576","42047.0326758635","44452.7327457999","46457.3457770311","47924.5810382519","48814.7995527174","49938.106289923","50551.5531751991","",
"Azerbaijan","AZE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5502.43398864152","5558.81841314857","4334.43366410288","3361.03549662053","2719.34022718708","2420.44486439699","2471.58587927039","2634.15863088586","2901.35167222536","3136.09389310516","3534.32914766215","3942.08488219485","4393.96719931842","4945.90791637216","5551.44884183019","7169.15043103855","9830.16260573868","12477.3846859443","13799.7861400733","14900.5086642522","15627.6056198817","15754.1523626148","16180.8871503048","17171.7613655507","17608.3706329029","17782.0261527141","17256.6269704412","",
"Burundi","BDI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","702.879896737916","745.141885851432","753.630760095803","709.595742548928","685.046504076847","634.177689906036","586.320225009861","580.057212740667","606.831741928996","600.902030251972","597.718189253131","609.144754217792","628.199259149723","613.630038895316","639.874227218527","644.786602674403","677.382665500247","704.439858877756","729.462783308925","735.701234336554","748.380657602419","771.509423734821","793.080192119077","818.28521331237","846.094868209195","796.960811425412","777.752851658978","",
"Belgium","BEL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18768.8069053272","19675.7623159098","20349.5919182412","20552.9262147628","21601.0035461749","22530.1606403708","22886.1256973281","23916.4959435366","24543.9330228651","25642.2616549851","27983.996115916","28982.595089306","30482.7846512136","31054.3053916126","32249.4994641232","33332.3313498604","35390.8535279226","36866.2656285925","38133.5014644659","38001.9909227332","40091.0099912907","41248.725342013","42354.6314854002","43519.7779201761","44626.9868578109","45430.9073823844","46428.6714245837","",
"Benin","BEN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","945.37674549935","984.31366501525","1001.08761089962","1047.40474082973","1054.55141005154","1104.63702603924","1137.1082750262","1186.41688112379","1210.44911903842","1256.96239341407","1320.88957456507","1380.62022882486","1422.9540625471","1456.36454516645","1516.43028712892","1545.69826491077","1608.7728866525","1701.20707313632","1768.8035979427","1773.05329769007","1781.98706633659","1820.89469315629","1890.02901987697","2002.05140862019","2108.07068561877","2116.06363772786","2167.64282342606","",
"Burkina Faso","BFA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","545.726240774682","598.789994606344","597.554226558453","616.027013462832","620.26077867101","651.262450445419","716.11981867236","753.127341340672","794.354172082911","842.120332026115","852.388972667646","903.274517043443","929.931041208174","993.26806080577","1035.52289952551","1127.55874317235","1198.50951694666","1261.416063903","1338.8602973718","1347.57924167077","1394.58472667042","1472.71648241138","1549.4802661889","1616.77927059162","1666.89454400624","1699.87988977636","1771.01528722421","",
"Bangladesh","BGD","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","832.434081719866","869.33532826983","916.518574666377","961.161710589347","997.971592598519","1048.18420594648","1092.01768715192","1136.35459186552","1183.37670098855","1232.43447266784","1301.46328479352","1372.36251386772","1420.4312516704","1491.023591885","1586.18216794146","1718.40287298916","1864.19450265239","2024.23209501687","2163.55442727762","2264.87149858925","2393.31583163503","2570.85014525476","2756.44346659312","2934.64435240001","3131.92266183321","3335.75979065344","3579.75679134845","",
"Bulgaria","BGR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5190.79679510755","4959.47784952544","4754.41981398575","4833.89479890657","5043.61584218553","5319.71631024946","5623.31002783503","5686.07164221258","6008.40290697977","5751.46415071074","6374.47343084475","6944.05450924568","7766.22392129146","8379.18219558729","9174.11056063642","10275.0722257219","11372.8035229964","12900.7858917462","14328.9295392236","14143.6130187685","14948.5895706348","15676.1441294193","16208.2152662831","16631.6587230844","17508.890528442","18115.2350726374","19242.6226157385","",
"Bahrain","BHR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22694.907256237","25375.9182795642","26985.4940541941","30419.8805764619","30235.4120856992","31276.0265346714","32298.2224739653","32941.355869149","33826.5315820989","34535.5171817884","35622.601699238","35578.8842945325","35516.2932317334","36258.0924833938","37399.8448142104","38466.5622058612","39163.1204531047","40282.9665240104","40557.0243120659","39412.1674086511","39749.8493845143","40164.5827403304","41714.8436088807","44168.3779484071","46180.0376163635","46775.7403335698","","",
"Bahamas, The","BHS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15693.8358583275","15253.6396498941","14721.5988636307","14837.7632034613","15362.7265529383","16121.2388582421","16889.4112974541","17338.4500047521","18157.7382495075","19516.3729146263","20487.3431803414","21132.3288410747","21607.8066527661","21305.8580707543","21620.7272838943","22602.9564956975","23415.7117243909","23923.7087148222","23392.2861587165","22191.1746033125","22431.9299506066","22674.7278158328","23453.6354886308","23370.5372556653","23191.2376141203","22448.5270264115","22516.8164822799","",
"Bosnia and Herzegovina","BIH","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","949.281976620733","1202.66048367494","2352.77255893282","3239.94853795058","3787.99180668366","4205.49210119993","4528.61304464368","4735.17318004362","5114.27417432348","5348.5872235855","5840.6513999857","6453.18663225115","7380.87540733821","8161.68623470688","9006.44700898036","9003.26972919448","9314.88603110754","9901.61020154702","10181.913229555","10825.840024833","11164.2057322716","11526.4243893206","12172.0664660669","",
"Belarus","BLR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5399.40557534689","5509.47235273728","5083.12739874364","4797.75757152504","4331.65323287033","3974.93590662647","4174.7545380634","4750.37800044582","5230.10823453406","5513.83355763893","5994.55725732174","6453.90530834298","6927.55456783626","7616.45895157519","8781.63643780397","9984.19255747154","11389.55165644","12756.6346295883","14383.16738581","14553.7953661949","15906.7561959696","17166.6956434719","17801.9186985095","18271.7542904885","18903.1590190042","18347.1407011402","18066.3006624014","",
"Belize","BLZ","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3338.21210391779","3740.12993679552","4215.42271772396","4510.02885515837","4520.45637800984","4525.76574134556","4527.37816503405","4597.49176141575","4639.55977492667","4936.75637471884","5516.14241381737","5746.62858787242","5964.57000423884","6479.77779145453","6791.95731196538","7008.80574641699","7361.07413753312","7444.30252641197","7636.84135733543","7558.04785083857","7715.95031849724","7855.69828660257","8121.15294169971","8179.04988331871","8433.30273789718","8584.22563455672","8461.53565294243","",
"Bermuda","BMU","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26210.9109007466","26261.1259418547","27038.8767248633","28362.5661275732","28938.4392651508","30621.6915800819","31787.7790998267","33613.3724699575","35044.9513449448","36579.5634273514","40535.2082576999","43976.0925063775","43706.034736478","45797.3203552513","47835.4392260251","49877.2841082861","53949.4237061828","56640.9889952538","58288.6120944144","55320.1617108278","55254.2141192067","54984.5103947777","53097.6962878821","52436.056406239","","","","",
"Bolivia","BOL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2396.11496689992","2555.46885243457","2604.90637933615","2726.41016519079","2857.41341752817","2993.81094933821","3119.28235336203","3264.94703670241","3399.2543857961","3399.73492700833","3497.27947511032","3570.0567605005","3647.57124523892","3753.0508490101","3946.70857633322","4180.31823540514","4438.62465045884","4684.94245010811","4986.88053332403","5108.87359361606","5298.08451219437","5598.50844451487","5899.64186063859","6303.06642034157","6662.82976241703","6955.18276973353","7234.19524334695","",
"Brazil","BRA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6686.08048384202","6891.97512943256","6898.70405298695","7271.50475187872","7696.41028562723","8072.95461174487","8268.48537027835","8558.93042375708","8547.15458315978","8588.01964024939","9012.76401799382","9216.76517492799","9515.49239448841","9690.57940994869","10401.9413844611","10951.2747805631","11604.8635489813","12503.6092795189","13262.8005447414","13215.4256842597","14244.9787898614","14973.0984736747","15396.6223446724","15968.2920788878","16192.4314944883","15617.3212760458","15123.8500142816","",
"Barbados","BRB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9218.22417447948","9122.01027331853","8767.63893557751","9016.93013500122","9360.05389527415","9713.87006462221","10245.5033034408","10873.8089285843","11360.1928504996","11529.8014849873","12275.0544973305","12219.6287842379","12468.8428643262","12956.3815766355","13458.7451634791","14394.218759436","15618.7541463203","16251.6671163771","16565.9574146395","15951.042765202","16124.9948326257","16472.0832008577","16763.8855016143","16980.4440097176","17234.872312195","17527.8328511429","18064.6044272186","",
"Brunei Darussalam","BRN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54726.5642826069","56686.6568810333","59033.1709230392","58946.1281739914","60426.8458368863","62787.2531248313","64153.1820484727","62779.1078038378","61685.8075984263","63143.4760880756","65034.8346589503","66960.5208174901","69246.7481773335","71337.235205243","72411.5752831565","73873.2902403918","78398.1896570985","79616.870305081","78682.9808251747","76964.3177723928","78923.3904740313","82434.8830910215","83504.3025184817","81827.2734606771","80155.5429896511","79439.062446088","77420.6121720434","",
"Bhutan","BTN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1502.88065800944","1546.55879821722","1672.51816898437","1774.39301361051","1926.23762468771","2112.16835899211","2251.1591428914","2369.51071187459","2474.17370780244","2637.73005973375","2804.93275688453","3019.00092965503","3300.16293059307","3524.92675279858","3734.48887014555","4026.34187596839","4331.46190597585","5131.41037736024","5372.13242864557","5664.1278051614","6289.81436412947","6805.87845575689","7162.29347421935","7317.33741383861","7760.09018263967","8245.60530630055","8900.76455308796","",
"Botswana","BWA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5242.04564928739","5661.04598838628","5798.94175029585","5893.3620794374","6082.78163724582","6491.72810262165","6843.108551891","7364.7414335334","7354.74812157279","8043.51279918659","8251.81945049328","8332.79662706803","8848.10437799182","9314.39571832187","9695.19342940274","10313.6111912576","11346.0494933988","12413.2856813241","13226.6064899232","12098.7929929481","13064.4662387584","13889.2704704923","14506.885230642","16111.1091493253","16765.1596098485","16352.545696024","16956.7247702462","",
"Central African Republic","CAF","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","602.549493843312","603.793268019751","562.730514840217","562.530413059777","586.708614031531","625.773350163315","596.921881226275","624.504665956661","646.240809442282","665.121822502435","649.459045704183","679.934944236921","701.535794400747","664.315058517633","710.41096696699","726.866366553461","771.146741446285","813.805389395986","833.252964076624","842.522224144834","870.044080916885","911.655946889643","963.564013916564","618.5146822517","633.94568526627","667.042665228989","698.706655729741","",
"Canada","CAN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20107.8306877283","20060.6728229815","20446.6282009294","21255.0535745257","22465.8030545629","23354.2721887713","23904.848934067","25087.9972576757","26117.6117299565","27656.6769217414","29185.3550587258","30073.912805211","30851.3114815056","32189.0615956597","33754.8695616172","36134.6022423077","38009.875996482","39441.9677890234","40277.6193121099","38791.0746857483","40027.2402088674","41565.2712210369","42145.0978611317","44101.4714464506","45519.7939192537","44647.3642265863","44819.4836002717","",
"Central Europe and the Baltics","CEB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6885.87237782112","6457.50438539338","6505.13184531438","6763.96022025286","7197.69989197043","7781.62028832812","8288.87382801181","8682.47555127766","9069.92891464272","9378.99927169163","10010.2884913784","10792.9549887135","11601.0929363521","12341.2296412546","13466.7699721907","14294.242581411","15888.6069950883","17649.115003481","19529.4784809521","19514.6229540632","20752.1360424167","22167.7066856978","22954.9499934951","23968.7692021032","24947.5682833576","25832.1833276396","26851.1685407982","",
"Switzerland","CHE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27609.0459169673","27915.6696897214","28226.599359895","28600.1198871706","29344.7901268333","29900.4079150453","30535.4541353554","31797.8746298351","32891.7225064298","33814.0792910998","35748.876969071","36808.6393845166","37718.3041278531","37710.7989048388","39184.0188439473","40572.2631753381","45112.2786663038","49737.7609931816","52584.7349460344","51759.7527446929","53119.3865285819","56183.8325850081","57849.5839884654","60108.5163468318","61902.1624060426","63648.2880177144","63888.7323866538","",
"Channel Islands","CHI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4507.11474393179","4947.36936005209","5621.10987003791","6123.75112278534","6578.46088189135","7366.06387169761","8028.91140535206","8655.29667368909","9009.31721071349","8995.18118959855","9571.97894148125","9994.17091790155","10343.2273836998","10858.8014337216","11831.3100517949","12774.7312248309","15773.823019032","16971.7667088299","16551.3071523277","16226.2069326139","18265.3425272305","20437.704525923","21620.2809667472","22578.7289196484","23014.0105879654","22647.4618198874","23193.9741105248","",
"China","CHN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","986.568376177788","1099.05222797972","1268.27161988176","1461.61034638759","1668.58064180613","1869.46632027211","2070.77160880877","2277.20685142254","2458.63066104439","2664.48503120314","2933.31481687007","3226.84845645728","3551.66365190754","3961.27389293916","4455.20502164089","5092.55983719014","5883.71937721515","6863.98175467412","7635.07261093725","8374.43227112406","9333.12423690653","10384.3665989406","11351.0620576921","12367.9650091944","13440.4774628301","14450.094990196","15529.0841064508","",
"Cote d'Ivoire","CIV","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2064.23166352787","2059.56522095372","2029.04305290696","2003.35458369663","1995.08861010995","2113.22615745278","2247.87378229769","2302.72014216838","2375.0465599391","2387.90845185766","2336.35692095684","2342.85499642351","2295.19139940123","2268.27229211947","2317.61436177941","2388.43219498255","2450.59677799087","2508.37389933617","2567.19074324489","2612.06386869209","2635.83777138699","2511.42019511915","2762.34142570319","2980.26505984901","3217.77102165104","3451.87741812427","3693.43690911649","",
"Cameroon","CMR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1952.24372225482","1884.80870373996","1815.59526647033","1664.4134323673","1689.48875318106","1737.99287276804","1799.90292328657","1878.4776881096","1935.42272118738","1998.69349162714","2063.82352270855","2147.15482757839","2214.14894780669","2300.10437609214","2457.35151576487","2519.09001086173","2614.41042613163","2739.67288522194","2812.64505460119","2817.98765363956","2870.56268713564","2969.0475747898","3076.85813905275","3208.26832603863","3367.17697419567","3502.40788727502","3609.37559694931","",
